beta,algorithm,cost
0.01,Hybrid,10593.5
0.01,greedy,14613.943333333335
0.01,ils,10608.79
0.01,profit-density,14953.585000000001
0.01,regret,15684.461666666668
0.01,sa,12601.63
0.01,vnd,11647.186666666666
0.1,Hybrid,13105.105000000001
0.1,greedy,20591.773333333334
0.1,ils,12264.805
0.1,profit-density,19955.395
0.1,regret,24096.425
0.1,sa,15184.875
0.1,vnd,13688.398333333333
1.0,Hybrid,19885.656666666666
1.0,greedy,80370.07333333333
1.0,ils,19897.936666666665
1.0,profit-density,69973.495
1.0,regret,106557.11499999999
1.0,sa,23633.645
1.0,vnd,21898.783333333336
